Club,Location
Borussia Fulda,Fulda
Borussia Mönchengladbach,Mönchengladbach
Borussia Neunkirchen,Neunkirchen
Brandenburger SC Süd 05,Brandenburg an der Havel
FT Braunschweig,Braunschweig
Bremer SV,Bremen
OSC Bremerhaven,Bremerhaven
Brinkumer SV,Stuhr
TSV Buchbach,Buchbach
TSV Buchholz 08,Buchholz in der Nordheide
FSV Budissa Bautzen,Bautzen
SpVgg Burgbrohl,Burgbrohl
SV Wacker Burghausen,Burghausen
VfR Bürstadt,Bürstadt
Buxtehuder SV,Buxtehude
Carl Zeiss Jena,Jena
SCC Berlin,Berlin
Chemie Böhlen,Böhlen
Chemnitzer FC,Chemnitz
BV Cloppenburg,Cloppenburg
SC Condor Hamburg,Hamburg
SV Darmstadt 98,Darmstadt
TuS Dassendorf,Dassendorf
SV Dessau 05,Dessau
FV Diefflen,Dillingen
DJK Don Bosco Bamberg,Bamberg
Dresdner SC,Dresden
SV Drochtersen/Assel,Drochtersen
MSV Duisburg,Duisburg
TuRU Düsseldorf,Düsseldorf
Berliner FC Dynamo,Berlin
Dynamo Dresden,Dresden
FC Ederbergland,Battenberg
SV Eichede,Steinburg
VfB Eichstätt,Eichstätt
FC Einheit Rudolstadt,Rudolstadt
VfB Einheit zu Pankow,Berlin
Eintracht Bad Kreuznach,Bad Kreuznach
FC Eintracht Bamberg,Bamberg
Eintracht Braunschweig,Braunschweig
FC Eintracht Norderstedt 03,Norderstedt
Eintracht Frankfurt,Frankfurt
FC Eintracht Rheine,Rheine
TSV Eintracht Stadtallendorf,Stadtallendorf
FC Mecklenburg Schwerin,Schwerin
Eintracht Trier,Trier
SV Elversberg,Spiesen-Elversberg
SC Eltersdorf,Erlangen
Energie Cottbus,Cottbus
VfB Eppingen,Eppingen
SpVgg Erkenschwick,Oer-Erkenschwick
SV Erlenbach,Erlenbach am Main
TuS Erndtebrück,Erndtebrück
Erzgebirge Aue,Aue
1. SC Feucht,Feucht
Fortuna Babelsberg,Potsdam
Fortuna Köln,Cologne
Fortuna Düsseldorf,Düsseldorf
FSV Frankfurt,Frankfurt
1. FC Frankfurt,Frankfurt
Freiburger FC,Freiburg
SC Freiburg,Freiburg
VfL Frohnlach,Frohnlach
FSV Union Fürstenwalde,Fürstenwalde
VfR Garching,Garching
BSG Wismut Gera,Gera
1. FC Germania Egestorf/Langreder,Barsinghausen
VfB Germania Halberstadt,Halberstadt
SV Germania Schöneiche,Schöneiche
TSV Germania Windeck,Windeck
FSV Glückauf Brieske-Senftenberg,Senftenberg
SV Gonsenheim,Gonsenheim
SV Göppingen,Göppingen
Goslarer SC 08,Goslar
Göttingen 05,Göttingen
SpVgg Greuther Fürth,Fürth
SG Sonnenhof Großaspach,Aspach
TSV Großbardorf,Großbardorf
FC Gundelfingen,Gundelfingen an der Donau
FC Gütersloh 2000,Gütersloh
VfL Halle 1896,Halle
Hallescher FC,Halle
Hamburger SV,Hamburg
Hammer SpVg,Hamm
FC Hanau 93,Hanau
SpVgg Hankofen-Hailing,Leiblfing
Hannover 96,Hannover
F.C. Hansa Rostock,Rostock
SC Hauenstein,Hauenstein
TSV Havelse,Garbsen
Heeslinger SC,Heeslingen
1. FC Heidenheim,Heidenheim
Heider SV,Heide
FC Heilbronn,Heilbronn
SV Heimstetten,Munich
FC Hennef 05,Hennef
SC Herford,Herford
CFC Hertha 06,Berlin
Hertha Zehlendorf,Berlin
SC Hessen Dreieich,Dreieich
KSV Hessen Kassel,Kassel
Hertha BSC Berlin,Berlin
FC Hertha Wiesbach,Eppelborn
TSG 1899 Hoffenheim,Sinsheim
FSV Hollenbach,Mulfingen
Holstein Kiel,Kiel
FC 08 Homburg,Homburg
VfB Homberg,Duisburg
HSV Barmbek-Uhlenhorst,Hamburg
FV Illertissen,Illertissen
FC Ingolstadt 04,Ingolstadt
Inter Leipzig,Leipzig
FC Ismaning,Ismaning
FSV Jägersburg,Homburg
TV Jahn Hiesfeld,Dinslaken
SSV Jahn Regensburg,Regensburg
1. FC Kaiserslautern,Kaiserslautern
FC Karbach,Karbach
Karlsruher FV,Karlsruhe
Karlsruher SC,Karlsruhe
Kickers Emden,Emden
Kickers Offenbach,Offenbach
FC Kilia Kiel,Kiel
SV Kirchanschöring,Kirchanschöring
KFC Uerdingen 05,Krefeld
1. FC Kleve,Kleve
TuS Koblenz,Koblenz
1. FC Köln,Cologne
TSV Kottern,Kempten
FC Kray,Essen
TSV Landsberg,Landsberg am Lech
TSV Lehnerz,Fulda
RB Leipzig,Leipzig
SV Lichtenberg 47,Berlin
SV Lippstadt 08,Lippstadt
FSC Lohfelden,Lohfelden
Sportfreunde Lotte,Lotte
1. FC Lokomotive Leipzig,Leipzig
1. FC Lok Stendal,Stendal
VfB Lübeck,Lübeck
Lüneburger SK Hansa,Lüneburg
Lupo Martini Wolfsburg,Wolfsburg
1. FC Magdeburg,Magdeburg
Malchower SV,Malchow
VfR Mannheim,Mannheim
FSV Mainz 05,Mainz
SSV Markranstädt,Markranstädt
TSV Marl-Hüls,Marl
TuS Mechtersheim,Römerberg
TSV Meerbusch,Meerbusch
FC Memmingen,Memmingen
SV Meppen,Meppen
ZFC Meuselwitz,Meuselwitz
SV Morlautern,Kaiserslautern
SV Motor Altenburg,Altenburg
1. FC Mülheim,Mülheim an der Ruhr
SpVgg Neckarelz,Neckarelz
Neckarsulmer SU,Neckarsulm
1. FC Neubrandenburg 04,Neubrandenburg
ASV Neumarkt,Neumarkt in der Oberpfalz
VfR Neumünster,Neumünster
TSG Neustrelitz,Neustrelitz
FC Nöttingen,Remchingen
1. FC Nürnberg,Nuremberg
SV Oberachern,Achern
FC Oberlausitz Neugersdorf,Neugersdorf
FC Oberneuland,Bremen
Offenburger FV,Offenburg
FSV Oggersheim,Ludwigshafen
VfB Oldenburg,Oldenburg
VfL Oldenburg,Oldenburg
FSV Optik Rathenow,Rathenow
VfL Osnabrück,Osnabrück
OSV Hannover,Hannover
SC Paderborn 07,Paderborn
TSG Pfeddersheim,Worms
1. CfR Pforzheim,Pforzheim
SC Pfullendorf,Pfullendorf
VfL Pinneberg,Pinneberg
FC Pipinsried,Altomünster
FK Pirmasens,Pirmasens
VFC Plauen,Plauen
FC Pommern Stralsund,Stralsund
Preußen Münster,Münster
SV Pullach,Pullach
FV Ravensburg,Ravensburg
FC Remscheid,Remscheid
SSV Reutlingen,Reutlingen
SV Röchling Völklingen,Völklingen
SV Rödinghausen,Rödinghausen
Rot-Weiss Ahlen,Ahlen
Rot-Weiß Darmstadt,Darmstadt
Rot-Weiss Essen,Essen
FC Rot-Weiß Erfurt,Erfurt
Rot-Weiss Frankfurt,Frankfurt
SV Rot-Weiß Hadamar,Hadamar
TuS Rot-Weiss Koblenz,Koblenz
Rot-Weiß Oberhausen,Oberhausen
SV Saar 05 Saarbrücken,Saarbrücken
1. FC Saarbrücken,Saarbrücken
BSG Chemie Leipzig,Leipzig
FSV Salmrohr,Salmrohr
1. FC Sand,Sand am Main
SV Sandhausen,Sandhausen
SV Schalding-Heining,Passau
FC Schalke 04,Gelsenkirchen
TSV Schilksee,Kiel
Schwarz-Weiß Essen,Essen
SV Schott Jena,Jena
TSV Schwabmünchen,Schwabmünchen
BSV Schwarz-Weiß Rehden,Rehden
FC Schweinfurt 05,Schweinfurt
BSV 07 Schwenningen,Schwenningen
FC Schönberg 95,Schönberg
TSV Schott Mainz,Mainz
SV Seligenporten,Pyrbaum
1. FC Sonthofen,Sonthofen
Sportfreunde Baumberg,Baumberg
Sportfreunde Seligenstadt,Seligenstadt
Sportfreunde Siegen,Siegen
SV Spielberg,Karlsbad
TSG Sprockhövel,Sprockhövel
FC St. Pauli,Hamburg
SuS Stadtlohn,Stadtlohn
FC Stahl Brandenburg,Brandenburg an der Havel
TSV Stahl Riesa,Riesa
TSV Steinbach,Steinbach
FC Strausberg,Strausberg
Stuttgarter Kickers,Stuttgart
VfB Stuttgart,Stuttgart
Tennis Borussia Berlin,Berlin
Teutonia Watzenborn-Steinberg,Pohlheim
Türkiyemspor Berlin,Berlin
SSV Ulm 1846,Ulm
1. FC Union Berlin,Berlin
FC Unterföhring,Unterföhring
SpVgg Unterhaching,Munich
SSVg Velbert,Velbert
OSC Vellmar,Vellmar
SC Verl,Verl
SC Victoria Hamburg,Hamburg
SC Viktoria 06 Griesheim,Griesheim
1. FC Viktoria 07 Kelsterbach,Kelsterbach
FC Viktoria 09 Urberach,Rödermark
Viktoria Aschaffenburg,Aschaffenburg
BFC Viktoria 1889,Berlin
FC Viktoria 1889 Berlin,Berlin
FC Viktoria Köln 1904,Cologne
DJK Vilzing,Vilzing
FSV Wacker 90 Nordhausen,Nordhausen
SG Wattenscheid 09,Wattenscheid
SV Waldhof Mannheim,Mannheim
Wandsbeker TSV Concordia,Hamburg
DSC Wanne-Eickel,Wanne-Eickel
FC Wegberg-Beeck,Wegberg
SV Wehen Wiesbaden,Taunusstein
ETSV Weiche,Flensburg
SpVgg Weiden,Weiden
SV Werder Bremen,Bremen
SC Westfalia Herne,Herne
Westfalia Rhynern,Rhynern
SC Wiedenbrück 2000,Rheda-Wiedenbrück
SV Wilhelmshaven,Wilhelmshaven
VfL Wolfsburg,Wolfsburg
BCF Wolfratshausen,Wolfratshausen
Wormatia Worms,Worms
Wuppertaler SV,Wuppertal
Würzburger FV,Würzburg
Würzburger Kickers,Würzburg
FSV Zwickau,Zwickau
Alavés,Vitoria-Gasteiz
Athletic Club de Bilbao,Bilbao
Atlético Madrid,Madrid
FC Barcelona,FC Barcelona
Celta Vigo,Vigo
Eibar,Eibar
Espanyol,Cornellà de Llobregat
Getafe,Getafe
Girona,Girona
Huesca,Huesca
Leganés,Leganés
Levante UD,Valencia CF
Rayo Vallecano,Madrid
Real Betis Balompi√©,Seville
Real Madrid CF,Madrid
Real Sociedad,San Sebastián
Sevilla FC,Seville
Valencia CF,Valencia CF
Valladolid,Valladolid
Villarreal,Villarreal
Albacete,Albacete
Alcorcón,Alcorcón
Almería,Almería
Cádiz,Cádiz
Córdoba,Córdoba
Deportivo La Coruña,A Coruña
Elche,Elche
Extremadura,Almendralejo
Gimnàstic,Tarragona
Granada,Granada
UD Las Palmas,UD Las Palmas
Lugo,Lugo
Málaga,Málaga
Mallorca,Palma
Numancia,Soria
Osasuna,Pamplona
Oviedo,Oviedo
Rayo Majadahonda,Majadahonda
Reus,Reus
Sporting Gijón,Gijón
Tenerife,Santa Cruz de Tenerife
Zaragoza,Zaragoza
Atalanta,Bergamo
Bologna,Bologna
Cagliari,Cagliari
Chievo Verona,Verona
Empoli,Empoli
Fiorentina,Florence
Frosinone,Frosinone
Genoa,Genoa
Inter,Milan
Juventus,Turin
Lazio,Rome
Milan,Milan
Napoli,Naples
Parma,Parma
Roma,Rome
Sampdoria,Genoa
Sassuolo,Sassuolo
SPAL,Ferrara
Torino,Turin
Udinese,Udine
Ascoli,Ascoli Piceno
Benevento,Benevento
Brescia,Brescia
Carpi,Carpi
Cittadella,Cittadella
Cosenza,Cosenza
Cremonese,Cremona
Crotone,Crotone
Foggia,Foggia
Hellas Verona,Verona
Lecce,Lecce
Livorno,Livorno
Padova,Padua
Palermo,Palermo
Perugia,Perugia
Pescara,Pescara
Salernitana,Salerno
Spezia,La Spezia
Venezia,Venice
